release_id,org,version,stage,deployed_at,is_harmful,error_rate,latency_ms,availability,error_budget_remaining,canary_error_rate,canary_latency_delta,cpu_usage,memory_usage
R0047,BankA,3.1.3,canary,2026-07-16T11:00:00+00:00,False,2.015,254,99.28,68.75,1.596,-19,38.25,28.6
R0048,GovAgency,3.0.7,canary,2026-07-25T00:00:00+00:00,False,1.92,323,99.646,61.903,1.448,-9,28.24,38.2
R0049,HealthCo,2.3.7,canary,2026-07-24T22:00:00+00:00,False,1.374,297,99.997,65.775,0.698,38,27.19,31.31
R0050,GovAgency,2.0.5,canary,2026-07-06T10:00:00+00:00,False,1.883,174,99.192,78.009,0.57,47,41.86,64.12
R0051,HealthCo,2.0.5,staged,2026-07-08T23:00:00+00:00,False,0.825,353,99.127,32.959,0.193,17,46.38,25.68
R0052,BankA,1.0.9,staged,2026-07-13T11:00:00+00:00,False,1.227,305,99.341,92.757,0.529,41,20.13,22.94
R0053,BankA,1.0.2,canary,2026-07-07T16:00:00+00:00,False,2.047,235,99.085,46.132,1.049,33,42.28,55.58
R0054,GovAgency,3.0.7,canary,2026-07-20T05:00:00+00:00,False,0.814,381,99.99,49.85,1.156,-8,57.64,29.35
R0055,HealthCo,1.1.2,canary,2026-07-11T13:00:00+00:00,True,1.425,1129,99.003,5.925,4.163,459,16.47,32.96
R0056,HealthCo,2.0.6,production,2026-07-06T05:00:00+00:00,False,1.407,156,99.908,83.731,0.221,1,50.67,46.78
R0057,HealthCo,3.1.1,production,2026-07-21T07:00:00+00:00,False,1.753,286,99.943,62.531,0.939,-10,41.91,60.02
R0058,HealthCo,2.1.0,canary,2026-07-05T05:00:00+00:00,False,0.649,374,99.587,31.348,1.4,14,40.93,54.34
R0059,HealthCo,3.1.4,canary,2026-07-09T01:00:00+00:00,False,2.493,303,99.635,61.962,0.255,24,33.38,34.45
R0060,BankA,2.3.6,staged,2026-07-30T22:00:00+00:00,False,1.289,285,99.814,65.756,0.873,20,26.36,25.22
R0061,GovAgency,1.0.8,production,2026-07-21T01:00:00+00:00,False,1.092,176,100.74,70.471,0.947,36,49.2,29.16
R0062,BankA,2.1.7,staged,2026-07-31T03:00:00+00:00,False,1.263,94,99.973,69.577,0.507,0,28.98,20.62
R0063,BankA,2.0.1,staged,2026-07-21T00:00:00+00:00,False,2.373,158,99.498,76.579,0.965,14,33.7,41.71
R0064,BankA,3.1.8,staged,2026-07-07T12:00:00+00:00,False,,386,99.508,87.156,1.569,15,49.77,58.45
R0065,GovAgency,2.1.0,canary,2026-07-13T09:00:00+00:00,True,8.577,986,99.999,7.148,4.821,48,36.8,34.96
R0066,GovAgency,2.0.9,production,2026-07-17T16:00:00+00:00,False,0.661,290,99.044,78.406,1.299,28,32.37,49.87
R0067,BankA,3.1.0,production,2026-07-06T17:00:00+00:00,False,1.305,382,99.332,36.524,1.537,-8,38.67,40.56
R0068,BankA,3.0.2,staged,2026-07-04T12:00:00+00:00,False,1.227,215,99.339,75.026,1.205,22,53.36,58.67
R0069,HealthCo,3.1.8,production,2026-07-02T20:00:00+00:00,False,1.582,200,100.857,89.86,1.796,-9,34.53,24.43
R0070,GovAgency,1.1.7,production,2026-07-08T10:00:00+00:00,True,7.396,1411,99.324,4.801,3.72,35,21.55,43.9
R0071,HealthCo,2.0.7,canary,2026-07-26T05:00:00+00:00,False,0.443,316,99.638,59.872,1.234,39,55.55,50.49
R0072,BankA,3.1.5,staged,2026-07-26T09:00:00+00:00,True,6.288,967,99.69,17.883,5.299,29,53.4,24.8
R0073,BankA,3.0.4,staged,2026-07-01T16:00:00+00:00,False,1.458,105,99.911,78.436,1.516,16,49.91,30.36
R0074,BankA,2.0.9,staged,2026-07-12T00:00:00+00:00,False,1.727,150,99.628,88.721,1.199,,50.49,21.5
R0075,GovAgency,1.2.1,canary,2026-07-13T22:00:00+00:00,False,0.884,292,99.176,38.59,1.017,26,38.89,61.11
R0076,HealthCo,3.1.4,canary,2026-07-15T18:00:00+00:00,True,6.609,118,99.141,92.823,6.849,30,58.53,56.21
R0077,HealthCo,1.1.7,production,2026-07-17T01:00:00+00:00,False,1.715,214,99.585,83.457,1.698,-7,45.37,41.22
R0078,GovAgency,2.3.9,canary,2026-07-10T18:00:00+00:00,True,11.965,317,99.909,49.642,3.139,-3,17.04,21.67
R0079,GovAgency,1.2.6,production,2026-07-20T16:00:00+00:00,False,0.99,356,102.088,78.247,0.363,33,44.47,57.52
R0080,HealthCo,2.1.0,staged,2026-07-30T18:00:00+00:00,False,0.989,307,99.445,45.347,0.717,27,39.5,64.0
R0081,BankA,3.0.4,canary,2026-07-09T10:00:00+00:00,False,2.424,312,99.092,43.787,1.187,-18,17.28,35.01
R0082,GovAgency,2.0.1,production,2026-07-24T23:00:00+00:00,True,1.507,816,99.329,7.268,2.702,376,27.48,64.28
R0083,BankA,1.2.0,production,2026-07-16T14:00:00+00:00,False,1.996,201,99.589,31.026,0.551,-4,48.38,43.67
R0084,BankA,3.1.7,canary,2026-07-16T18:00:00+00:00,False,1.332,135,104.43,44.401,1.146,46,28.57,48.95
R0085,BankA,3.1.6,staged,2026-07-19T12:00:00+00:00,False,1.747,331,99.712,58.832,1.629,,42.37,22.96
R0086,GovAgency,2.3.6,production,2026-07-26T19:00:00+00:00,False,1.373,312,104.048,57.963,1.448,-6,53.38,49.29
R0087,GovAgency,2.0.6,canary,2026-07-20T14:00:00+00:00,True,1.093,862,99.399,5.873,4.315,451,44.93,36.84
R0088,BankA,3.0.1,staged,2026-07-17T05:00:00+00:00,False,2.048,364,99.06,92.181,1.055,-5,33.49,59.31
R0089,GovAgency,1.0.4,production,2026-07-26T22:00:00+00:00,False,0.85,133,99.578,43.828,1.216,8,53.13,35.76
R0090,HealthCo,1.1.4,production,2026-07-25T19:00:00+00:00,False,0.643,299,99.845,93.346,,-17,42.4,49.6
R0091,HealthCo,1.0.2,canary,2026-07-12T23:00:00+00:00,False,1.786,238,99.922,52.817,0.408,-2,40.48,38.04
R0092,GovAgency,1.0.1,canary,2026-07-23T23:00:00+00:00,False,0.616,294,99.454,40.232,0.63,21,49.96,45.54
R0093,BankA,1.2.2,production,2026-07-27T16:00:00+00:00,False,0.219,121,99.272,73.026,0.926,36,33.64,29.7
R0094,BankA,2.3.6,canary,2026-07-06T01:00:00+00:00,False,0.78,383,101.407,73.364,0.177,,59.3,22.47
R0095,HealthCo,2.0.2,production,2026-07-12T05:00:00+00:00,True,9.0,1425,99.497,8.353,4.417,48,46.67,42.51
R0096,BankA,3.0.0,staged,2026-07-20T22:00:00+00:00,False,2.311,240,99.576,67.271,1.306,33,28.03,38.23
R0097,BankA,3.1.5,canary,2026-07-05T02:00:00+00:00,False,1.148,134,99.243,68.277,0.991,30,54.17,53.56
R0098,HealthCo,1.2.1,canary,2026-07-23T02:00:00+00:00,False,1.62,351,103.411,88.885,0.694,-2,25.63,26.59
R0099,BankA,1.2.1,canary,2026-07-08T21:00:00+00:00,False,2.383,332,99.464,66.643,1.085,21,53.89,48.22
R0100,HealthCo,1.1.7,staged,2026-07-20T04:00:00+00:00,False,1.615,220,99.591,52.876,,39,35.34,22.56
